(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
02:40.0,0,0,50,0
02:40.0,0,0,50,0
03:40.0,0,0,51,0
04:40.0,0,0,52,0
05:40.0,0,0,53,0
06:40.0,0,0,54,0
07:40.0,0,0,55,0
08:40.0,0,0,56,0
09:40.0,0,0,57,0
10:40.0,0,0,58,0
11:40.0,0,0,59,0
12:40.0,0,0,60,0
13:40.0,0,0,61,0
14:40.0,0,0,62,0
15:40.0,0,0,63,0
16:40.0,0,0,64,0
17:40.0,0,0,65,0
18:40.0,0,0,66,0
19:40.0,0,0,67,0
20:40.0,0,0,68,0
21:40.0,0,0,69,0
22:40.0,0,0,70,0
23:40.0,0,0,71,0
24:40.0,0,0,72,0
25:40.0,0,0,73,0
26:40.0,0,0,74,0
27:40.0,0,0,75,0
28:40.0,0,0,76,0
29:40.0,0,0,77,0
30:40.0,0,0,78,0
31:40.0,0,0,79,0
32:40.0,0,0,80,0
33:40.0,0,0,81,0
34:40.0,0,0,82,0
35:40.0,0,0,83,0
36:40.0,0,0,84,0
37:40.0,0,0,85,0
38:40.0,0,0,86,0
39:40.0,0,0,87,0
40:40.0,0,0,88,0
41:40.0,0,0,89,0
42:40.0,0,0,90,0
43:40.0,0,0,91,0
44:40.0,0,0,92,0
45:40.0,0,0,93,0
46:40.0,0,0,94,0
47:40.0,0,0,95,0
48:40.0,0,0,96,0
49:40.0,0,0,97,0
50:40.0,0,0,98,0
51:40.0,0,0,99,0
52:40.0,0,0,100,0
02:40.0,0,0,50,0
03:40.0,0,0,51,0
04:40.0,0,0,52,0
05:40.0,0,0,53,0
06:40.0,0,0,54,0
07:40.0,0,0,55,0
08:40.0,0,0,56,0
09:40.0,0,0,57,0
10:40.0,0,0,58,0
11:40.0,0,0,59,0
12:40.0,0,0,60,0
13:40.0,0,0,61,0
14:40.0,0,0,62,0
15:40.0,0,0,63,0
16:40.0,0,0,64,0
17:40.0,0,0,65,0
18:40.0,0,0,66,0
19:40.0,0,0,67,0
20:40.0,0,0,68,0
21:40.0,0,0,69,0
22:40.0,0,0,70,0
23:40.0,0,0,71,0
24:40.0,0,0,72,0
25:40.0,0,0,73,0
26:40.0,0,0,74,0
27:40.0,0,0,75,0
28:40.0,0,0,76,0
29:40.0,0,0,77,0
30:40.0,0,0,78,0
31:40.0,0,0,79,0
32:40.0,0,0,80,0
33:40.0,0,0,81,0
34:40.0,0,0,82,0
35:40.0,0,0,83,0
36:40.0,0,0,84,0
37:40.0,0,0,85,0
38:40.0,0,0,86,0
39:40.0,0,0,87,0
40:40.0,0,0,88,0
41:40.0,0,0,89,0
42:40.0,0,0,90,0
43:40.0,0,0,91,0
44:40.0,0,0,92,0
45:40.0,0,0,93,0
46:40.0,0,0,94,0
47:40.0,0,0,95,0
48:40.0,0,0,96,0
49:40.0,0,0,97,0
50:40.0,0,0,98,0
51:40.0,0,0,99,0
52:40.0,0,0,100,0

