(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
13:40.0,5,0,0,0
14:40.0,10,0,0,0
15:40.0,15,0,0,0
16:40.0,20,0,0,0
17:40.0,25,0,0,0
18:40.0,30,0,0,0
19:40.0,35,0,0,0 
20:40.0,40,0,0,0
21:40.0,45,0,0,0
22:40.0,50,0,0,0
23:40.0,55,0,0,0
24:40.0,60,0,0,0
25:40.0,65,0,0,0
26:40.0,70,0,0,0
27:40.0,75,0,0,0
28:40.0,80,0,0,0
29:40.0,85,0,0,0
30:40.0,90,0,0,0
31:40.0,95,0,0,0
32:40.0,100,0,0,0
33:40.0,105,0,0,0
34:40.0,110,0,0,0
35:40.0,115,0,0,0
36:40.0,120,0,0,0
37:40.0,125,0,0,0
38:40.0,130,0,0,0
39:40.0,135,0,0,0
40:40.0,140,0,0,0
41:40.0,145,0,0,0 
42:40.0,150,0,0,0
43:40.0,155,0,0,0
44:40.0,160,0,0,0
45:40.0,165,0,0,0
46:40.0,170,0,0,0
47:40.0,175,0,0,0
48:40.0,180,0,0,0
49:40.0,185,0,0,0
50:40.0,190,0,0,0
51:40.0,195,0,0,0
52:40.0,200,0,0,0
53:40.0,205,0,0,0
54:40.0,210,0,0,0
55:40.0,215,0,0,0
56:40.0,220,0,0,0
57:40.0,225,0,0,0
58:40.0,230,0,0,0
59:40.0,235,0,0,0
00:40.0,240,0,0,0
01:40.0,245,0,0,0
02:40.0,250,0,0,0
03:40.0,255,0,0,0
04:40.0,260,0,0,0
05:40.0,265,0,0,0
06:40.0,270,0,0,0
07:40.0,275,0,0,0
08:40.0,280,0,0,0
09:40.0,285,0,0,0
10:40.0,290,0,0,0
11:40.0,295,0,0,0
12:40.0,300,0,0,0
13:40.0,305,0,0,0
14:40.0,310,0,0,0
15:40.0,315,0,0,0
16:40.0,320,0,0,0
17:40.0,325,0,0,0
18:40.0,330,0,0,0
19:40.0,335,0,0,0
20:40.0,340,0,0,0
21:40.0,345,0,0,0
22:40.0,350,0,0,0
23:40.0,355,0,0,0
24:40.0,360,0,0,0
25:40.0,365,0,0,0
26:40.0,370,0,0,0
27:40.0,375,0,0,0
28:40.0,380,0,0,0
29:40.0,385,0,0,0
30:40.0,390,0,0,0
31:40.0,395,0,0,0
32:40.0,400,0,0,0
33:40.0,405,0,0,0
34:40.0,410,0,0,0
35:40.0,415,0,0,0
36:40.0,420,0,0,0
37:40.0,425,0,0,0
38:40.0,430,0,0,0
39:40.0,435,0,0,0
40:40.0,440,0,0,0
41:40.0,445,0,0,0
42:40.0,450,0,0,0
43:40.0,455,0,0,0
44:40.0,460,0,0,0
45:40.0,465,0,0,0
46:40.0,470,0,0,0
47:40.0,475,0,0,0
48:40.0,480,0,0,0
49:40.0,485,0,0,0
50:40.0,490,0,0,0
51:40.0,495,0,0,0
52:40.0,500,0,0,0
