(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
13:40.0,0,0,0,0
14:40.0,1000,0,0,0
15:40.0,2000,0,0,0
16:40.0,3000,0,0,0
17:40.0,4000,0,0,0
18:40.0,5000,0,0,0
19:40.0,6000,0,0,0
20:40.0,7000,0,0,0
21:40.0,8000,0,0,0
22:40.0,9000,0,0,0
23:40.0,10000,0,0,0
24:40.0,11000,0,0,0
25:40.0,12000,0,0,0
26:40.0,13000,0,0,0
27:40.0,14000,0,0,0
28:40.0,15000,0,0,0
29:40.0,16000,0,0,0
30:40.0,17000,0,0,0
31:40.0,18000,0,0,0
32:40.0,19000,0,0,0
33:40.0,20000,0,0,0
34:40.0,21000,0,0,0
