(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
13:40.0,1,0,0,0
14:40.0,2,0,0,0
15:40.0,3,0,0,0
16:40.0,4,0,0,0
17:40.0,5,0,0,0
18:40.0,6,0,0,0
19:40.0,7,0,0,0
20:40.0,8,0,0,0
21:40.0,9,0,0,0
22:40.0,10,0,0,0
23:40.0,11,0,0,0
24:40.0,12,0,0,0
25:40.0,13,0,0,0
26:40.0,14,0,0,0
27:40.0,15,0,0,0
28:40.0,16,0,0,0
