(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
58:40.0,46,0,0,0
58:40.0,46,0,0,0
58:40.0,46,0,0,0
59:40.0,47,0,0,0
00:40.0,48,0,0,0
01:40.0,49,0,0,0
02:40.0,50,0,0,0
03:40.0,51,0,0,0
04:40.0,52,0,0,0
05:40.0,53,0,0,0
06:40.0,54,0,0,0
07:40.0,55,0,0,0
08:40.0,56,0,0,0
09:40.0,57,0,0,0
10:40.0,58,0,0,0
11:40.0,59,0,0,0
12:40.0,60,0,0,0
13:40.0,61,0,0,0
14:40.0,62,0,0,0
15:40.0,63,0,0,0
16:40.0,64,0,0,0
17:40.0,65,0,0,0
18:40.0,66,0,0,0
19:40.0,67,0,0,0
20:40.0,68,0,0,0
21:40.0,69,0,0,0
22:40.0,70,0,0,0
23:40.0,71,0,0,0
24:40.0,72,0,0,0
25:40.0,73,0,0,0
26:40.0,74,0,0,0
27:40.0,75,0,0,0
28:40.0,76,0,0,0
29:40.0,77,0,0,0
30:40.0,78,0,0,0
31:40.0,79,0,0,0
32:40.0,80,0,0,0
33:40.0,81,0,0,0
34:40.0,82,0,0,0
35:40.0,83,0,0,0
36:40.0,84,0,0,0
37:40.0,85,0,0,0
38:40.0,86,0,0,0
38:40.0,87,0,0,0
58:40.0,46,0,0,0
58:40.0,46,0,0,0
59:40.0,47,0,0,0
00:40.0,48,0,0,0
01:40.0,49,0,0,0
02:40.0,50,0,0,0
03:40.0,51,0,0,0
04:40.0,52,0,0,0
05:40.0,53,0,0,0
06:40.0,54,0,0,0
07:40.0,55,0,0,0
08:40.0,56,0,0,0
09:40.0,57,0,0,0
10:40.0,58,0,0,0
11:40.0,59,0,0,0
12:40.0,60,0,0,0
13:40.0,61,0,0,0
14:40.0,62,0,0,0
15:40.0,63,0,0,0
16:40.0,64,0,0,0
17:40.0,65,0,0,0
18:40.0,66,0,0,0
19:40.0,67,0,0,0
20:40.0,68,0,0,0
21:40.0,69,0,0,0
22:40.0,70,0,0,0
23:40.0,71,0,0,0
24:40.0,72,0,0,0
25:40.0,73,0,0,0
26:40.0,74,0,0,0
27:40.0,75,0,0,0
28:40.0,76,0,0,0
29:40.0,77,0,0,0
30:40.0,78,0,0,0
31:40.0,79,0,0,0
32:40.0,80,0,0,0
33:40.0,81,0,0,0
34:40.0,82,0,0,0
35:40.0,83,0,0,0
36:40.0,84,0,0,0
37:40.0,85,0,0,0
38:40.0,86,0,0,0
38:40.0,87,0,0,0
