(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
13:40.0,101,0,0,0
14:40.0,102,0,0,0
15:40.0,103,0,0,0
16:40.0,104,0,0,0
17:40.0,105,0,0,0
18:40.0,106,0,0,0
19:40.0,107,0,0,0
20:40.0,108,0,0,0
21:40.0,109,0,0,0
22:40.0,110,0,0,0
23:40.0,111,0,0,0
24:40.0,112,0,0,0
25:40.0,113,0,0,0
26:40.0,114,0,0,0
27:40.0,115,0,0,0
28:40.0,116,0,0,0
29:40.0,117,0,0,0
30:40.0,118,0,0,0
31:40.0,119,0,0,0
32:40.0,120,0,0,0
33:40.0,121,0,0,0
34:40.0,122,0,0,0
35:40.0,123,0,0,0
36:40.0,124,0,0,0
37:40.0,125,0,0,0
38:40.0,126,0,0,0
39:40.0,127,0,0,0
40:40.0,128,0,0,0
41:40.0,129,0,0,0
42:40.0,130,0,0,0
43:40.0,131,0,0,0
44:40.0,132,0,0,0
45:40.0,133,0,0,0
46:40.0,134,0,0,0
47:40.0,135,0,0,0
48:40.0,136,0,0,0
49:40.0,137,0,0,0
50:40.0,138,0,0,0
51:40.0,139,0,0,0
52:40.0,140,0,0,0
53:40.0,141,0,0,0
54:40.0,142,0,0,0
55:40.0,143,0,0,0
56:40.0,144,0,0,0
57:40.0,145,0,0,0
58:40.0,146,0,0,0
59:40.0,147,0,0,0
00:40.0,148,0,0,0
01:40.0,149,0,0,0
02:40.0,150,0,0,0
03:40.0,151,0,0,0
04:40.0,152,0,0,0
05:40.0,153,0,0,0
06:40.0,154,0,0,0
07:40.0,155,0,0,0
08:40.0,156,0,0,0
09:40.0,157,0,0,0
10:40.0,158,0,0,0
11:40.0,159,0,0,0
12:40.0,160,0,0,0
13:40.0,161,0,0,0
14:40.0,162,0,0,0
15:40.0,163,0,0,0
16:40.0,164,0,0,0
17:40.0,165,0,0,0
18:40.0,166,0,0,0
19:40.0,167,0,0,0
20:40.0,168,0,0,0
21:40.0,169,0,0,0
22:40.0,170,0,0,0
23:40.0,171,0,0,0
24:40.0,172,0,0,0
25:40.0,173,0,0,0
26:40.0,174,0,0,0
27:40.0,175,0,0,0
28:40.0,176,0,0,0
29:40.0,177,0,0,0
30:40.0,178,0,0,0
31:40.0,179,0,0,0
32:40.0,180,0,0,0
33:40.0,181,0,0,0
34:40.0,182,0,0,0
35:40.0,183,0,0,0
36:40.0,184,0,0,0
37:40.0,185,0,0,0
38:40.0,186,0,0,0
39:40.0,187,0,0,0
40:40.0,188,0,0,0
41:40.0,189,0,0,0
42:40.0,190,0,0,0
43:40.0,191,0,0,0
44:40.0,192,0,0,0
45:40.0,193,0,0,0
46:40.0,194,0,0,0
47:40.0,195,0,0,0
48:40.0,196,0,0,0
49:40.0,197,0,0,0
50:40.0,198,0,0,0
51:40.0,199,0,0,0
52:40.0,200,0,0,0
