(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
13:40.0,100,0,0,0
14:40.0,200,0,0,0
15:40.0,300,0,0,0
16:40.0,400,0,0,0
17:40.0,500,0,0,0
18:40.0,600,0,0,0
19:40.0,700,0,0,0
20:40.0,800,0,0,0
21:40.0,900,0,0,0
22:40.0,1000,0,0,0
23:40.0,1100,0,0,0
24:40.0,1200,0,0,0
25:40.0,1300,0,0,0
26:40.0,1400,0,0,0
27:40.0,1500,0,0,0
28:40.0,1600,0,0,0
29:40.0,1700,0,0,0
30:40.0,1800,0,0,0
31:40.0,1900,0,0,0
32:40.0,2000,0,0,0
33:40.0,2100,0,0,0
34:40.0,2200,0,0,0
35:40.0,2300,0,0,0
36:40.0,2400,0,0,0
37:40.0,2500,0,0,0
38:40.0,2600,0,0,0
39:40.0,2700,0,0,0
40:40.0,2800,0,0,0
41:40.0,2900,0,0,0
42:40.0,3000,0,0,0
43:40.0,3100,0,0,0
44:40.0,3200,0,0,0
45:40.0,3300,0,0,0
46:40.0,3400,0,0,0
47:40.0,3500,0,0,0
48:40.0,3600,0,0,0
49:40.0,3700,0,0,0
50:40.0,3800,0,0,0
51:40.0,3900,0,0,0
52:40.0,4000,0,0,0
53:40.0,4100,0,0,0
54:40.0,4200,0,0,0
55:40.0,4300,0,0,0
56:40.0,4400,0,0,0
57:40.0,4500,0,0,0
58:40.0,4600,0,0,0
59:40.0,4700,0,0,0
00:40.0,4800,0,0,0
01:40.0,4900,0,0,0
02:40.0,5000,0,0,0
03:40.0,5100,0,0,0
04:40.0,5200,0,0,0
05:40.0,5300,0,0,0
06:40.0,5400,0,0,0
07:40.0,5500,0,0,0
08:40.0,5600,0,0,0
09:40.0,5700,0,0,0
10:40.0,5800,0,0,0
11:40.0,5900,0,0,0
12:40.0,6000,0,0,0
13:40.0,6100,0,0,0
14:40.0,6200,0,0,0
15:40.0,6300,0,0,0
16:40.0,6400,0,0,0
17:40.0,6500,0,0,0
18:40.0,6600,0,0,0
19:40.0,6700,0,0,0
20:40.0,6800,0,0,0
21:40.0,6900,0,0,0
22:40.0,7000,0,0,0
23:40.0,7100,0,0,0
24:40.0,7200,0,0,0
25:40.0,7300,0,0,0
26:40.0,7400,0,0,0
27:40.0,7500,0,0,0
28:40.0,7600,0,0,0
29:40.0,7700,0,0,0
30:40.0,7800,0,0,0
31:40.0,7900,0,0,0
32:40.0,8000,0,0,0
33:40.0,8100,0,0,0
34:40.0,8200,0,0,0
35:40.0,8300,0,0,0
36:40.0,8400,0,0,0
37:40.0,8500,0,0,0
38:40.0,8600,0,0,0
39:40.0,8700,0,0,0
40:40.0,8800,0,0,0
41:40.0,8900,0,0,0
42:40.0,9000,0,0,0
43:40.0,9100,0,0,0
44:40.0,9200,0,0,0
45:40.0,9300,0,0,0
46:40.0,9400,0,0,0
47:40.0,9500,0,0,0
48:40.0,9600,0,0,0
49:40.0,9700,0,0,0
50:40.0,9800,0,0,0
51:40.0,9900,0,0,0
52:40.0,10000,0,0,0
