(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
13:40.0,0,0,0,10240
14:40.0,0,0,0,20480
15:40.0,0,0,0,30720
16:40.0,0,0,0,40960
17:40.0,0,0,0,51200
18:40.0,0,0,0,61440
19:40.0,0,0,0,71680
20:40.0,0,0,0,81920
21:40.0,0,0,0,92160
22:40.0,0,0,0,102400
23:40.0,0,0,0,112640
24:40.0,0,0,0,122880
25:40.0,0,0,0,133120
26:40.0,0,0,0,143360
27:40.0,0,0,0,153600
28:40.0,0,0,0,163840
29:40.0,0,0,0,174080
30:40.0,0,0,0,184320
31:40.0,0,0,0,194560
32:40.0,0,0,0,204800
33:40.0,0,0,0,215040
34:40.0,0,0,0,225280
35:40.0,0,0,0,235520
36:40.0,0,0,0,245760
37:40.0,0,0,0,256000
38:40.0,0,0,0,266240
39:40.0,0,0,0,276480
40:40.0,0,0,0,286720
41:40.0,0,0,0,296960
42:40.0,0,0,0,307200
43:40.0,0,0,0,317440
44:40.0,0,0,0,327680
45:40.0,0,0,0,337920
46:40.0,0,0,0,348160
47:40.0,0,0,0,358400
48:40.0,0,0,0,368640
49:40.0,0,0,0,378880
50:40.0,0,0,0,389120
51:40.0,0,0,0,399360
52:40.0,0,0,0,409600
53:40.0,0,0,0,419840
54:40.0,0,0,0,430080
55:40.0,0,0,0,440320
56:40.0,0,0,0,450560
57:40.0,0,0,0,460800
58:40.0,0,0,0,471040
59:40.0,0,0,0,481280
00:40.0,0,0,0,491520
01:40.0,0,0,0,501760
02:40.0,0,0,0,512000
03:40.0,0,0,0,522240
04:40.0,0,0,0,532480
05:40.0,0,0,0,542720
06:40.0,0,0,0,552960
07:40.0,0,0,0,563200
08:40.0,0,0,0,573440
09:40.0,0,0,0,583680
10:40.0,0,0,0,593920
11:40.0,0,0,0,604160
12:40.0,0,0,0,614400
13:40.0,0,0,0,624640
14:40.0,0,0,0,634880
15:40.0,0,0,0,645120
16:40.0,0,0,0,655360
17:40.0,0,0,0,665600
18:40.0,0,0,0,675840
19:40.0,0,0,0,686080
20:40.0,0,0,0,696320
21:40.0,0,0,0,706560
22:40.0,0,0,0,716800
23:40.0,0,0,0,727040
24:40.0,0,0,0,737280
25:40.0,0,0,0,747520
26:40.0,0,0,0,757760
27:40.0,0,0,0,768000
28:40.0,0,0,0,778240
29:40.0,0,0,0,788480
30:40.0,0,0,0,798720
31:40.0,0,0,0,808960
32:40.0,0,0,0,819200
33:40.0,0,0,0,829440
34:40.0,0,0,0,839680
35:40.0,0,0,0,849920
36:40.0,0,0,0,860160
37:40.0,0,0,0,870400
38:40.0,0,0,0,880640
39:40.0,0,0,0,890880
40:40.0,0,0,0,901120
41:40.0,0,0,0,911360
42:40.0,0,0,0,921600
43:40.0,0,0,0,931840
44:40.0,0,0,0,942080
45:40.0,0,0,0,952320
46:40.0,0,0,0,962560
47:40.0,0,0,0,972800
48:40.0,0,0,0,983040
49:40.0,0,0,0,993280
50:40.0,0,0,0,1003520
51:40.0,0,0,0,1013760
52:40.0,0,0,0,1024000
