(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
13:40.0,0,0,0,1034240
14:40.0,0,0,0,1044480
15:40.0,0,0,0,1054720
16:40.0,0,0,0,1064960
17:40.0,0,0,0,1075200
18:40.0,0,0,0,1085440
19:40.0,0,0,0,1095680
20:40.0,0,0,0,1105920
21:40.0,0,0,0,1116160
22:40.0,0,0,0,1126400
23:40.0,0,0,0,1136640
24:40.0,0,0,0,1146880
25:40.0,0,0,0,1157120
26:40.0,0,0,0,1167360
27:40.0,0,0,0,1177600
28:40.0,0,0,0,1187840
29:40.0,0,0,0,1198080
30:40.0,0,0,0,1208320
31:40.0,0,0,0,1218560
32:40.0,0,0,0,1228800
33:40.0,0,0,0,1239040
34:40.0,0,0,0,1249280
35:40.0,0,0,0,1259520
36:40.0,0,0,0,1269760
37:40.0,0,0,0,1280000
38:40.0,0,0,0,1290240
39:40.0,0,0,0,1300480
40:40.0,0,0,0,1310720
41:40.0,0,0,0,1320960
42:40.0,0,0,0,1331200
43:40.0,0,0,0,1341440
44:40.0,0,0,0,1351680
45:40.0,0,0,0,1361920
46:40.0,0,0,0,1372160
47:40.0,0,0,0,1382400
48:40.0,0,0,0,1392640
49:40.0,0,0,0,1402880
50:40.0,0,0,0,1413120
51:40.0,0,0,0,1423360
52:40.0,0,0,0,1433600
53:40.0,0,0,0,1443840
54:40.0,0,0,0,1454080
55:40.0,0,0,0,1464320
56:40.0,0,0,0,1474560
57:40.0,0,0,0,1484800
58:40.0,0,0,0,1495040
59:40.0,0,0,0,1505280
00:40.0,0,0,0,1515520
01:40.0,0,0,0,1525760
02:40.0,0,0,0,1536000
03:40.0,0,0,0,1546240
04:40.0,0,0,0,1556480
05:40.0,0,0,0,1566720
06:40.0,0,0,0,1576960
07:40.0,0,0,0,1587200
08:40.0,0,0,0,1597440
09:40.0,0,0,0,1607680
10:40.0,0,0,0,1617920
11:40.0,0,0,0,1628160
12:40.0,0,0,0,1638400
13:40.0,0,0,0,1648640
14:40.0,0,0,0,1658880
15:40.0,0,0,0,1669120
16:40.0,0,0,0,1679360
17:40.0,0,0,0,1689600
18:40.0,0,0,0,1699840
19:40.0,0,0,0,1710080
20:40.0,0,0,0,1720320
21:40.0,0,0,0,1730560
22:40.0,0,0,0,1740800
23:40.0,0,0,0,1751040
24:40.0,0,0,0,1761280
25:40.0,0,0,0,1771520
26:40.0,0,0,0,1781760
27:40.0,0,0,0,1792000
28:40.0,0,0,0,1802240
29:40.0,0,0,0,1812480
30:40.0,0,0,0,1822720
31:40.0,0,0,0,1832960
32:40.0,0,0,0,1843200
33:40.0,0,0,0,1853440
34:40.0,0,0,0,1863680
35:40.0,0,0,0,1873920
36:40.0,0,0,0,1884160
37:40.0,0,0,0,1894400
38:40.0,0,0,0,1904640
39:40.0,0,0,0,1914880
40:40.0,0,0,0,1925120
41:40.0,0,0,0,1935360
42:40.0,0,0,0,1945600
43:40.0,0,0,0,1955840
44:40.0,0,0,0,1966080
45:40.0,0,0,0,1976320
46:40.0,0,0,0,1986560
47:40.0,0,0,0,1996800
48:40.0,0,0,0,2007040
49:40.0,0,0,0,2017280
50:40.0,0,0,0,2027520
51:40.0,0,0,0,2037760
52:40.0,0,0,0,2048000
