(PDH-CSV 4.0) (E. South America Daylight Time)(120),\\FCATAE-DEM\LogicalDisk(_Total)\Disk Reads/sec,\\FCATAE-DEM\LogicalDisk(_Total)\Disk Writes/sec,\\FCATAE-DEM\Processor(0)\% Processor Time,\\FCATAE-DEM\SQLServer:Databases(dbazure)\Log Bytes Flushed/sec
13:40.0,0,0,0,1048576
13:40.0,0,0,0,1048576
14:40.0,0,0,0,2097152
15:40.0,0,0,0,3145728
16:40.0,0,0,0,4194304
17:40.0,0,0,0,5242880
18:40.0,0,0,0,6291456
19:40.0,0,0,0,7340032
20:40.0,0,0,0,8388608
21:40.0,0,0,0,9437184
22:40.0,0,0,0,10485760
23:40.0,0,0,0,11534336
24:40.0,0,0,0,12582912
25:40.0,0,0,0,13631488
26:40.0,0,0,0,14680064
27:40.0,0,0,0,15728640
28:40.0,0,0,0,16777216
29:40.0,0,0,0,17825792
30:40.0,0,0,0,18874368
31:40.0,0,0,0,19922944
32:40.0,0,0,0,20971520
33:40.0,0,0,0,22020096
34:40.0,0,0,0,23068672
35:40.0,0,0,0,24117248
36:40.0,0,0,0,25165824
37:40.0,0,0,0,26214400
38:40.0,0,0,0,27262976
39:40.0,0,0,0,28311552
40:40.0,0,0,0,29360128
41:40.0,0,0,0,30408704
42:40.0,0,0,0,31457280
43:40.0,0,0,0,32505856
44:40.0,0,0,0,33554432
45:40.0,0,0,0,34603008
46:40.0,0,0,0,35651584
